URL,Label,Entity
http://vocab.getty.edu/ulan/500008521##quaPerson,"Ribera, Jusepe de",person
http://vocab.getty.edu/ulan/500020808##quaPerson,"Robertson, Alexander",person
http://vocab.getty.edu/ulan/500004496##quaPerson,"Herkomer, Herman Gustave",person
http://vocab.getty.edu/ulan/500028182##quaPerson,Lamqua,person
http://vocab.getty.edu/ulan/500013237##quaPerson,"Ashfield, Edmund",person
http://vocab.getty.edu/ulan/500115280##quaPerson,"Cosway, Richard",person
http://vocab.getty.edu/ulan/500191072##quaPerson,"Ligon, Glenn",person
http://vocab.getty.edu/ulan/500044391##quaPerson,"Watson, Thomas",person
http://vocab.getty.edu/ulan/500022390##quaPerson,"Burr, John",person
http://vocab.getty.edu/ulan/500011080##quaPerson,"Grozer, Joseph",person
http://vocab.getty.edu/ulan/500026391##quaPerson,"Mellan, Claude",person
http://vocab.getty.edu/ulan/500000918##quaPerson,"Dujardin, Karel",person
http://vocab.getty.edu/ulan/500118440##quaPerson,"Iturbide, Graciela",person
http://vocab.getty.edu/ulan/500040894##quaPerson,"Motte, Charles Etienne Pierre",person
http://vocab.getty.edu/ulan/500008734##quaPerson,"Cantarini, Simone",person
http://vocab.getty.edu/ulan/500019659##quaPerson,"Hunt, Charles, Sr.",person
http://vocab.getty.edu/ulan/500016455##quaPerson,"Le Bas, Jacques Philippe",person
http://vocab.getty.edu/ulan/500047446##quaPerson,"Toussaint, Henri",person
http://vocab.getty.edu/ulan/500007033##quaPerson,"Houbraken, Jacobus",person
http://vocab.getty.edu/ulan/500010173##quaPerson,"Dodd, Francis",person
http://vocab.getty.edu/ulan/500005036##quaPerson,"Poussin, Nicolas",person
http://vocab.getty.edu/ulan/500003126##quaPerson,"Bassano, Jacopo",person
http://vocab.getty.edu/ulan/500024243##quaPerson,"Vernet, Horace",person
http://vocab.getty.edu/ulan/500021184##quaPerson,"Haydon, Benjamin Robert",person
http://vocab.getty.edu/ulan/500118604##quaPerson,"Gibbs, James",person
http://vocab.getty.edu/ulan/500029910##quaPerson,"Hoyland, John",person
http://vocab.getty.edu/ulan/500021654##quaPerson,"Ostade, Adriaen van",person
http://vocab.getty.edu/ulan/500044566##quaPerson,"Alix, Pierre-Michel",person
http://vocab.getty.edu/ulan/500094830##quaPerson,"Haseltine, Herbert",person
http://vocab.getty.edu/ulan/500044905##quaPerson,"Gunst, Pieter Stevens van",person
http://vocab.getty.edu/ulan/500294268##quaPerson,"Elisofon, Eliot",person
http://vocab.getty.edu/ulan/500032318##quaPerson,"Bartolozzi, Francesco",person
http://vocab.getty.edu/ulan/500122930##quaPerson,"McMillian, Rodney",person
http://vocab.getty.edu/ulan/500449460##quaPerson,"Yale, Elihu",person
http://vocab.getty.edu/ulan/500023972##quaPerson,"Sargent, John Singer",person
http://vocab.getty.edu/ulan/500124892##quaPerson,"Gray, George",person
http://vocab.getty.edu/ulan/500102559##quaPerson,"Sabatier, Léon Jean-Baptiste",person
http://vocab.getty.edu/ulan/500028756##quaPerson,"Stothard, Thomas",person
http://vocab.getty.edu/ulan/500002159##quaPerson,"Hearne, Thomas",person
http://vocab.getty.edu/ulan/500115562##quaPerson,"Géricault, Théodore",person
http://vocab.getty.edu/ulan/500022616##quaPerson,"Bowles, Carington",person
http://vocab.getty.edu/ulan/500110703##quaPerson,"Audouin, Pierre",person
http://vocab.getty.edu/ulan/500003052##quaPerson,"Havell, William",person
http://vocab.getty.edu/ulan/500037045##quaPerson,"Nixon, Nicholas",person
http://vocab.getty.edu/ulan/500015707##quaPerson,"Sayer, Robert",person
http://vocab.getty.edu/ulan/500033577##quaPerson,"Blondel, Georges Francois",person
http://vocab.getty.edu/ulan/500012688##quaPerson,"Zuccarelli, Francesco",person
http://vocab.getty.edu/ulan/500022097##quaPerson,"Oliver, Isaac, I",person
http://vocab.getty.edu/ulan/500010491##quaPerson,"Metsu, Gabriel",person
http://vocab.getty.edu/ulan/500083565##quaPerson,"Sparks, Nathaniel",person
http://vocab.getty.edu/ulan/500122420##quaPerson,"Brown, Cecily",person
http://vocab.getty.edu/ulan/500032138##quaPerson,"Clennell, Luke",person
http://vocab.getty.edu/ulan/500030583##quaPerson,"Hayward, George",person
http://vocab.getty.edu/ulan/500018007##quaPerson,"Pether, William",person
http://vocab.getty.edu/ulan/500023802##quaPerson,"Forge, Andrew Murray",person
http://vocab.getty.edu/ulan/500005248##quaPerson,"Ogilby, John",person
http://vocab.getty.edu/ulan/500018959##quaPerson,"Underwood, Leon",person
http://vocab.getty.edu/ulan/500012394##quaPerson,"Brouwer, Adriaen",person
http://vocab.getty.edu/ulan/500021991##quaPerson,"Green, Valentine",person
http://vocab.getty.edu/ulan/500018296##quaPerson,"Panini, Giovanni Paolo",person
http://vocab.getty.edu/ulan/500032394##quaPerson,"Heseltine, John Postle",person
http://vocab.getty.edu/ulan/500006385##quaPerson,"Salisbury, Frank O.",person
http://vocab.getty.edu/ulan/500014315##quaPerson,"Dixon, John",person
